,zero_one_train_loss,mse_train_loss,zero_one_test_loss,mse_test_loss,leaf_sizes,trees
0,50.06666666666666,0.10013333333333332,50.5,0.101,10,1
1,26.73333333333333,0.05346666666666666,30.474999999999998,0.06094999999999999,100,1
2,18.88333333333333,0.03776666666666667,27.125,0.05425,200,1
3,16.733333333333334,0.033466666666666665,28.15,0.0563,300,1
4,12.383333333333335,0.024766666666666666,25.675000000000004,0.05134999999999999,400,1
5,9.166666666666668,0.018333333333333333,25.1,0.0502,500,1
6,6.6333333333333355,0.013266666666666666,24.775000000000002,0.04955,600,1
7,6.033333333333335,0.012066666666666667,26.475000000000005,0.05295,700,1
8,3.849999999999998,0.0077,24.724999999999998,0.04945,800,1
9,2.1333333333333315,0.004266666666666667,25.124999999999996,0.050249999999999996,900,1
10,1.3833333333333364,0.0027666666666666664,25.624999999999996,0.05125,1000,1
11,0.216666666666665,0.0004333333333333333,25.675000000000004,0.05134999999999999,1100,1
12,0.0,0.0,26.325,0.052649999999999995,1200,1
13,0.0,0.0,23.5,0.047,1300,1
14,0.0,0.0,25.6,0.0512,1400,1
15,0.0,0.0,25.275000000000002,0.050550000000000005,1500,1
16,0.0,0.0,25.3,0.0506,1600,1
17,0.0,0.0,25.675000000000004,0.05134999999999999,1700,1
18,0.0,0.0,26.525,0.05305,1800,1
19,0.0,0.0,26.749999999999996,0.05349999999999999,1900,1
20,0.0,0.0,26.049999999999997,0.0521,2000,1
21,0.0,0.0,24.075000000000003,0.04815,2000,1
22,0.0,0.0,25.249999999999993,0.0505,2000,2
23,0.0,0.0,17.200000000000003,0.0344,2000,3
24,0.0,0.0,13.875000000000004,0.027750000000000004,2000,4
25,0.0,0.0,12.375000000000004,0.02475,2000,5
26,0.0,0.0,11.075000000000001,0.02215,2000,6
27,0.0,0.0,10.199999999999998,0.020399999999999998,2000,7
28,0.0,0.0,9.775,0.01955,2000,8
29,0.0,0.0,8.825000000000005,0.01765,2000,9
30,0.0,0.0,8.250000000000002,0.016499999999999997,2000,10
31,0.0,0.0,8.425000000000004,0.016849999999999997,2000,11
32,0.0,0.0,7.750000000000002,0.015499999999999996,2000,12
33,0.0,0.0,7.325000000000004,0.01465,2000,13
34,0.0,0.0,7.250000000000001,0.014499999999999999,2000,14
35,0.0,0.0,6.2000000000000055,0.0124,2000,15
36,0.0,0.0,7.450000000000001,0.0149,2000,16
37,0.0,0.0,6.474999999999998,0.01295,2000,17
38,0.0,0.0,6.899999999999995,0.013800000000000002,2000,18
39,0.0,0.0,5.8749999999999964,0.01175,2000,19
40,0.0,0.0,6.0749999999999975,0.01215,2000,20
