,Number of features,Test error,Train error,Norm of the weights,Square Train error,Square train Test error,Zero one Train error,Zero one train Test error
0,1000.0,,,41.16204671713209,2.2697763965561326,2.277934835814811,7.76,7.809999999999995
1,2357.0,,,41.50582867866031,1.6841787198171276,1.788649625197977,7.036666666666669,7.110000000000005
2,3714.0,,,41.70233226145866,1.4109667318644732,1.6083523897825114,6.864999999999998,6.899999999999995
3,5071.0,,,41.69286593137042,1.2488915323955525,1.4743470226850321,6.8500000000000005,6.889999999999996
4,6428.0,,,41.81130839878703,1.1210834277321575,1.4023277223562485,6.72666666666667,6.9200000000000035
5,7785.0,,,41.76746574794206,1.003047955317097,1.3135054015884018,6.653333333333333,6.669999999999998
6,9142.0,,,41.87954555158287,0.9533212087096392,1.3521242913650007,6.65,6.65
7,10500.0,,,41.886812196189794,0.8708972178253607,1.2974846877790007,6.62166666666667,6.679999999999997
8,11857.0,,,41.91452442917417,0.8126317424139962,1.2936816825238528,6.62666666666667,6.710000000000004
9,13214.0,,,41.924537718098584,0.7657872418795189,1.3058068783982946,6.605000000000006,6.769999999999998
10,14571.0,,,41.84584601439447,0.7192265587470703,1.2428638832003247,6.573333333333331,6.669999999999998
11,15928.0,,,41.91035602398459,0.6580606542305656,1.292472494411856,6.561666666666666,6.679999999999997
12,17285.0,,,41.87561248362379,0.633314447286278,1.307134714265202,6.616666666666671,6.589999999999996
13,18642.0,,,41.82626264388409,0.5908384112393905,1.3349123619427887,6.6366666666666685,6.599999999999994
14,20000.0,,,41.882112373006315,0.5590131007624096,1.3413507570680763,6.5816666666666634,6.610000000000005
